"","support","text","inCA","influential","username","bio"
"52","yes","@PPICNotes @GavinNewsom @1ruthlessmom @ECalifornians @wu_wenyuan By the way, the #yesonprop16 has more than $10M from a handful mega wealthy donors! And yet, they were still unpopular among voters! Money cannot buy our rights! Shame on anyone attempting to use color and race to divide Americans! We will strike this divisive #Prop16 down! https://t.co/27agZVulPG","yes","no","sisyphean2020","My tweet is mostly about Prop16, a discriminatory and divisive bill that will be voted this November in California. It needs to be voted down!"
"53","no","Please join us in the 15th <U+0093>No #Prop16"" Car Rally in  #ChinoHills at 4pm on Sat., Sep. 19th.  Location: 14000 City Center Dr. Chino Hills, CA 91709

Let the flag fly, let our voice roar. Together, we will stop Divisive and Racist #Prop16! For more info:  https://t.co/VdhSRZy1lL. https://t.co/DHkDX5gyJE","yes","no","liang_polly","What's your superpower? Courage."
"54","yes","Hey #YesOnProp16 why do you keep lying? You have repeatedly described opposition as <U+0093>Chinese immigrants<U+0094> and people who speak <U+0093>broken English<U+0094>. You think Chinese immigrants are white supremacists carrying tiki torches? Vote no on #prop16. @KamalaHarris anything for a buck, eh? https://t.co/W6qrFPpiQe","yes","no","liang_polly","What's your superpower? Courage."
"55","yes","We're many of those youth! And we're voting #YesOnProp16 and getting all of our friends to do so too because we know that #Prop16 addresses systemic racism and makes our schools better places to learn. Every major civil rights group agrees! 
https://t.co/DA9r0yJpCO https://t.co/UM6UMJHcPi","yes","no","asiansforaa","A grassroots, student-led campaign to reinstate affirmative action and pass Prop 16!"
"56","yes","What an amazing lineup! Come through! #YesOnProp16 #Prop16 #Opportunity4All https://t.co/y8iz2ykiFF","yes","no","asiansforaa","A grassroots, student-led campaign to reinstate affirmative action and pass Prop 16!"
"57","yes","Hey @LorenaAD80 and the #yesonprop16 race baiting gang-I know today a day you likely don<U+0092>t celebrate given your total and complete disregard for the US Constitution but I along with scores of other Californians who reject your racism are celebrating today. Vote no on #prop16. https://t.co/6nLTzaC2Fh","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"58","no","Here at the heart of #SiliconValley our volunteers are handing out the #NoProp16 flyers at #Sunnyvale #farmersmarket!

Thank you Sunnyvale city council candidate Joshua Grossman for being one of the car rally speakers!

We are stronger each day!

Vote NO On #Prop16! https://t.co/ep92eynuf4","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"59","yes","This is the most telling thing about the #yesonprop16 racists. Infringing on anyone<U+0092>s civil rights is wrong. #prop16 is playing Russian roulette-eventually your luck will run out. Vote no on #prop16. Reject the racists! https://t.co/YJKKKayp3o https://t.co/xLyXAF2JyX","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"60","yes","#yesonprop16 is really ramping up their pathetic efforts to try to steal the election with their lies. I guess all the dirty billionaires funding their efforts got mad about throwing millions of dollars at losers like CAA. Vote no on #prop16.  Equal rights are civil rights.","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"61","no","@realAlan2020 @yesprop16 @AsmShirleyWeber @LorenaAD80 Deep six #Prop16. #NoOnProp16.","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"62","yes","Hey #yesonprop16 liars-read the report. I am not even done yet but is obvious is that you are denying an overwhelming number of qualified students. Why would we allow the UC<U+0092>s to have more discretionary power? Vote no on #prop16. Racist failures. https://t.co/wBBYElR7km","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"63","no","Thank you @tobeequal 

Let's solve real problems in a systemic manner

Let's not paper over them 

#NoOnProp16 #KeepCAGolden No State sanctioned #Discrimination #Prop16 https://t.co/8PCZeLNQaF","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"64","no","@ConceptualJames The actual name of #Prop16 is <U+0093>Government preferences<U+0094>. #NoOnProp16 #StopProp16 https://t.co/ETmlgshhje","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"65","no","#Prop16 is a clear and present danger. Time to #HuntForRedNovember since the California Democrats pushed it through when they approved ACA5. #NoOnProp16","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"66","yes","As a life long Democrat, the pathetic attempts by Matt and the other paid liars over at #yesonprop16 to paint us out at fanatical extremists is pathetic. Decent Americans will never favor the discrimination of anyone based on immutable characteristics such as race. No on #prop16. https://t.co/HDu88ZIblc","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"67","yes","This is really important to the race baiters over at #yesonprop16 who have paid CAA for <U+0093>advocacy<U+0094>. #prop16 removes the equal protection language from the state constitution so that they can use RACE as the deciding factor for policy. Vote no on #prop16. https://t.co/xSXBMBJNF6","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"68","no","TY @aparnamadireddi for your ongoing support for the #NoOnProp16 campaign. Your voice as a concerned citizen &amp; a candidate help highlight how #Prop16 would affect all of us and that the current K-12 problem will not be addressed with this proposition. Good luck on your campaign. https://t.co/UNh9cizzga","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"69","no","#StopProp16 #UnityNotDivision, No on #Prop16 @CA4equalrights
https://t.co/BzJlL7JfL6 https://t.co/uEsp3TPIFF","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"70","no","Brilliant deduction on #Prop16. #NoOnProp16 https://t.co/vmgIVwsxZR","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"71","no","A new dimension to #Prop16: cruelty. #NoOnProp16 https://t.co/sJbPoulFHW","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"72","no","Please join us in the 15th <U+0093>No #Prop16"" Car Rally in  #ChinoHills at 4pm on Sat., Sep. 19th.  Location: 14000 City Center Dr. Chino Hills, CA 91709

Let the flag fly, let our voice roar. Together, we will stop Divisive and Racist #Prop16! For more info:  https://t.co/VdhSRZy1lL. https://t.co/DHkDX5gyJE","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"73","no","Oh wait, you both support #Prop16. Got it. #NoOnProp16 https://t.co/rGgmrHg0so","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"74","no","Hear rising star @NewEmergingKing give his perspective on #Prop16 and why he is against it. #NoOnProp16 
https://t.co/jgutAcbN8J","yes","no","edifiquest","Wretch saved by God's grace and mercy. #NoOnProp16. Shepherd by storytelling. CSG member. Family physician. Tweets, like my children, are my responsibility."
"75","no","Skin-based discrimination #Prop16 scares #LatinoAmericans.
Skin-based redistribution simply doesn't appeal to normal people. In Neanderthal tribe, maybe,but civilized society shouldn't be ruled by primitive factor:skin pigment.
It's barbaric &amp; demeaning. 
#election2020 #NoProp16 https://t.co/OGPlwt4RRT","yes","no","HanrryYule","technically technican"
"76","no","What a terrific lineup of our #NoProp16 car rally speakers!

Looking forward to tomorrow<U+0092>s events at Milpitas (North CA) and Chino Valley (South CA)!

Vote NO On #prop16!

To view them online: https://t.co/ggksIOZHSb https://t.co/AqQaN787xn","yes","no","HanrryYule","technically technican"
"77","no","To all my #NoProp16 allies, check this out <U+0001F447>
#Prop16 is discrimination https://t.co/ijz2nIMC0B","no","no","realkencurrier","An American citizen, voice, & veteran from a long line of Patriots living here since before the birth of this nation looking for the Freedom to Pursue Happiness"
"78","no","Skin-based discrimination #Prop16 scares #LatinoAmericans.
Skin-based redistribution simply doesn't appeal to normal people. In Neanderthal tribe, maybe,but civilized society shouldn't be ruled by primitive factor:skin pigment.
It's barbaric &amp; demeaning. 
#election2020 #NoProp16 https://t.co/OGPlwt4RRT","no","no","realkencurrier","An American citizen, voice, & veteran from a long line of Patriots living here since before the birth of this nation looking for the Freedom to Pursue Happiness"
"79","no","What a terrific lineup of our #NoProp16 car rally speakers!

Looking forward to tomorrow<U+0092>s events at Milpitas (North CA) and Chino Valley (South CA)!

Vote NO On #prop16!

To view them online: https://t.co/ggksIOZHSb https://t.co/AqQaN787xn","no","no","realkencurrier","An American citizen, voice, & veteran from a long line of Patriots living here since before the birth of this nation looking for the Freedom to Pursue Happiness"
"80","no","Free #NoProp16 Yard Signs are Here!

But you have not requested the free #NoProp16 yard sign yet!

Hurry up before it runs out, limited supply!

To request your free yard sign:
https://t.co/TA4c0tJScP

Do Not Divide Us, Vote No on #prop16! https://t.co/Dz9V53GojU","no","no","realkencurrier","An American citizen, voice, & veteran from a long line of Patriots living here since before the birth of this nation looking for the Freedom to Pursue Happiness"
